AuditID,FundID,AuditDate,AuditFirm
1,69,2023-08-15,Collier-Flores
2,24,2022-06-24,Hernandez-Phelps
3,52,2022-07-27,"Spencer, Rangel and Miller"
4,22,2022-01-13,Stokes LLC
5,8,2021-12-25,Smith and Sons
6,16,2022-01-30,Green-Martin
7,64,2023-07-23,White Ltd
8,43,2021-07-31,"Sanders, Moore and Briggs"
9,75,2023-03-29,Harris Group
10,5,2021-08-23,"Stewart, Johnson and Foley"
11,60,2023-06-23,"Barnes, Rice and Green"
12,81,2021-07-02,"Townsend, Smith and Perry"
13,84,2021-05-31,Goodwin Ltd
14,12,2022-02-16,"Gilbert, Rodriguez and Mann"
15,47,2023-09-20,"Lowe, Gonzalez and Watson"
16,27,2023-04-17,Jackson Inc
17,24,2023-04-07,"Brown, Hernandez and Brown"
18,68,2023-09-20,Landry LLC
19,44,2023-03-31,"Graves, Humphrey and Bauer"
20,24,2021-11-05,Mosley LLC
21,61,2022-06-16,Maldonado-Valdez
22,20,2021-06-26,Hopkins-Garcia
23,86,2022-01-31,"Ryan, Diaz and White"
24,75,2023-02-27,Johnson and Sons
25,57,2023-09-02,Morales Ltd
26,47,2021-09-24,Diaz-Jackson
27,34,2023-04-02,Ramirez and Sons
28,3,2021-11-07,Wood Group
29,69,2022-02-16,Foley-Carter
30,42,2023-04-03,Rogers-Bass
31,60,2023-08-03,Peters-Torres
32,68,2021-10-29,Harding Ltd
33,96,2021-08-12,Berg-Richards
34,3,2023-05-04,Allen-Figueroa
35,37,2022-09-27,Morse PLC
36,49,2022-05-21,Ward Group
37,88,2021-11-26,"Sanders, Moore and Thomas"
38,1,2022-10-07,"Mcguire, Rose and Dorsey"
39,31,2022-04-10,Fields-Barnes
40,88,2023-12-17,"Mitchell, Davis and White"
41,1,2021-09-24,"Bauer, Evans and Fisher"
42,86,2022-02-14,Jordan-May
43,5,2022-03-02,Thompson-Patton
44,29,2023-10-14,Reid and Sons
45,44,2022-09-12,Reed LLC
46,72,2024-03-27,Lucero-Scott
47,79,2023-09-03,Adams and Sons
48,81,2022-05-15,Cole PLC
49,10,2023-02-08,"Becker, Reed and Bailey"
50,49,2023-04-10,"Hoover, Williams and Campos"
